Year,COMMENT_OBS,Composite breakdown,Value
2000,Year-end value for installed capacity (watts) and mid-year for population ,,24.065
2001,Year-end value for installed capacity (watts) and mid-year for population ,,23.417
2002,Year-end value for installed capacity (watts) and mid-year for population ,,22.791
2003,Year-end value for installed capacity (watts) and mid-year for population ,,22.182
2004,Year-end value for installed capacity (watts) and mid-year for population ,,23.551
2005,Year-end value for installed capacity (watts) and mid-year for population ,,22.916
2006,Year-end value for installed capacity (watts) and mid-year for population ,,22.346
2007,Year-end value for installed capacity (watts) and mid-year for population ,,21.736
2008,Year-end value for installed capacity (watts) and mid-year for population ,,22.654
2009,Year-end value for installed capacity (watts) and mid-year for population ,,23.191
2010,Year-end value for installed capacity (watts) and mid-year for population ,,24.735
2011,Year-end value for installed capacity (watts) and mid-year for population ,,24.107
2012,Year-end value for installed capacity (watts) and mid-year for population ,,24.702
2013,Year-end value for installed capacity (watts) and mid-year for population ,,24.324
2014,Year-end value for installed capacity (watts) and mid-year for population ,,27.375
2015,Year-end value for installed capacity (watts) and mid-year for population ,,32.944
2016,Year-end value for installed capacity (watts) and mid-year for population ,,32.88
2017,Year-end value for installed capacity (watts) and mid-year for population ,,32.564
2018,Year-end value for installed capacity (watts) and mid-year for population ,,39.494
2019,Year-end value for installed capacity (watts) and mid-year for population ,,41.669
2020,Year-end value for installed capacity (watts) and mid-year for population ,,40.743
2000,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.945
2001,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.919
2002,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.895
2003,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.871
2004,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.847
2005,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.825
2006,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.855
2007,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.832
2008,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.809
2009,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.787
2010,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.599
2011,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.557
2012,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.516
2013,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.477
2014,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.441
2015,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.84
2016,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.796
2017,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.754
2018,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.714
2019,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.675
2020,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.638
2000,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,1.815
2001,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,1.766
2002,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,1.718
2003,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,1.672
2004,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,3.592
2005,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,3.495
2006,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,3.4
2007,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,3.307
2008,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,3.217
2009,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,3.985
2010,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,4.711
2011,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,4.586
2012,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,4.634
2013,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,4.515
2014,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,7.839
2015,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,12.613
2016,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,13.005
2017,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,12.901
2018,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,12.916
2019,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,15.669
2020,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Geothermal energy,15.32
2000,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,21.293
2001,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,20.72
2002,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,20.166
2003,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,19.627
2004,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,19.1
2005,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,18.585
2006,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,18.08
2007,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,17.586
2008,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,18.614
2009,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,18.404
2010,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,18.287
2011,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,17.801
2012,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,18.348
2013,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,18.049
2014,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,17.611
2015,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,17.303
2016,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,16.897
2017,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,16.609
2018,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,16.28
2019,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,15.914
2020,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,15.559
2000,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2001,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2002,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2003,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2004,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2005,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2006,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2007,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2008,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.004
2009,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.005
2010,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.005
2011,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.033
2012,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.076
2013,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.159
2014,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.358
2015,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.643
2016,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.651
2017,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.778
2018,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,2.045
2019,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,2.018
2020,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,1.975
2000,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.013
2001,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.012
2002,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.012
2003,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.012
2004,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.011
2005,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.011
2006,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.011
2007,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.01
2008,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.01
2009,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.01
2010,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.134
2011,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.131
2012,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.127
2013,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.124
2014,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.125
2015,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.545
2016,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.532
2017,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,0.522
2018,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,6.54
2019,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,6.393
2020,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Wind energy,6.251
